X     II     Red     II     Green     II     B     II     InTensity
328     II     48     II     60     II     46     II     51
329     II     49     II     61     II     47     II     52
330     II     48     II     62     II     47     II     52
331     II     49     II     63     II     46     II     53
332     II     49     II     63     II     48     II     53
333     II     50     II     64     II     47     II     54
334     II     48     II     65     II     49     II     54
335     II     48     II     67     II     48     II     54
336     II     46     II     67     II     48     II     54
337     II     46     II     69     II     49     II     55
338     II     46     II     69     II     51     II     55
339     II     46     II     69     II     51     II     55
340     II     46     II     67     II     48     II     54
341     II     45     II     69     II     45     II     53
342     II     40     II     73     II     42     II     52
343     II     38     II     75     II     42     II     52
344     II     41     II     78     II     47     II     55
345     II     42     II     78     II     52     II     57
346     II     43     II     81     II     58     II     61
347     II     42     II     82     II     58     II     61
348     II     10     II     55     II     24     II     30
349     II     0     II     45     II     0     II     15
350     II     17     II     152     II     75     II     81
351     II     84     II     248     II     153     II     162
352     II     93     II     255     II     158     II     169
353     II     94     II     255     II     159     II     169
354     II     96     II     255     II     164     II     172
355     II     96     II     253     II     164     II     171
356     II     105     II     253     II     169     II     176
357     II     103     II     253     II     164     II     173
358     II     99     II     255     II     161     II     172
359     II     85     II     237     II     136     II     153
360     II     80     II     201     II     104     II     128
361     II     73     II     169     II     79     II     107
362     II     51     II     129     II     45     II     75
363     II     28     II     90     II     17     II     45
364     II     37     II     91     II     31     II     53
365     II     51     II     94     II     49     II     65
366     II     48     II     81     II     50     II     60
367     II     50     II     76     II     51     II     59
368     II     51     II     73     II     50     II     58
369     II     53     II     73     II     48     II     58
370     II     53     II     71     II     47     II     57
371     II     51     II     69     II     45     II     55
372     II     52     II     67     II     44     II     54
373     II     50     II     65     II     42     II     52
374     II     50     II     64     II     39     II     51
375     II     50     II     64     II     39     II     51
376     II     50     II     62     II     40     II     51
377     II     50     II     62     II     40     II     51
378     II     49     II     61     II     39     II     50
379     II     46     II     60     II     37     II     48
380     II     44     II     57     II     37     II     46
381     II     43     II     56     II     36     II     45
382     II     44     II     57     II     37     II     46
383     II     47     II     59     II     39     II     48
384     II     52     II     59     II     43     II     51
385     II     51     II     58     II     42     II     50
386     II     50     II     56     II     42     II     49
387     II     48     II     56     II     41     II     48
388     II     47     II     55     II     42     II     48
389     II     46     II     54     II     41     II     47
390     II     43     II     53     II     42     II     46
391     II     43     II     53     II     42     II     46
392     II     44     II     54     II     43     II     47
393     II     44     II     55     II     41     II     47
394     II     46     II     54     II     39     II     46
395     II     46     II     54     II     39     II     46
396     II     48     II     55     II     39     II     47
397     II     49     II     56     II     38     II     48
398     II     53     II     57     II     40     II     50
399     II     56     II     59     II     40     II     52
400     II     57     II     58     II     40     II     52
401     II     61     II     63     II     42     II     55
402     II     66     II     65     II     45     II     59
403     II     68     II     68     II     44     II     60
404     II     69     II     73     II     40     II     61
405     II     59     II     66     II     22     II     49
406     II     70     II     79     II     22     II     57
407     II     114     II     130     II     57     II     100
408     II     136     II     155     II     65     II     119
409     II     134     II     157     II     51     II     114
410     II     153     II     176     II     59     II     129
411     II     175     II     197     II     70     II     147
412     II     173     II     195     II     61     II     143
413     II     181     II     199     II     63     II     148
414     II     190     II     206     II     71     II     156
415     II     173     II     184     II     53     II     137
416     II     171     II     177     II     51     II     133
417     II     163     II     167     II     47     II     126
418     II     144     II     147     II     34     II     108
419     II     125     II     122     II     25     II     91
420     II     113     II     103     II     31     II     82
421     II     79     II     64     II     9     II     51
422     II     89     II     67     II     30     II     62
423     II     91     II     66     II     36     II     64
424     II     90     II     63     II     34     II     62
425     II     89     II     59     II     31     II     60
426     II     87     II     57     II     33     II     59
427     II     87     II     56     II     35     II     59
428     II     89     II     56     II     39     II     61
429     II     88     II     57     II     39     II     61
430     II     87     II     56     II     35     II     59
431     II     89     II     57     II     34     II     60
432     II     91     II     56     II     36     II     61
433     II     94     II     57     II     38     II     63
434     II     99     II     58     II     40     II     66
435     II     104     II     58     II     42     II     68
436     II     110     II     58     II     44     II     71
437     II     115     II     59     II     44     II     73
438     II     122     II     61     II     43     II     75
439     II     126     II     61     II     43     II     77
440     II     128     II     61     II     42     II     77
441     II     129     II     63     II     41     II     78
442     II     128     II     62     II     40     II     77
443     II     123     II     61     II     38     II     74
444     II     119     II     58     II     37     II     71
445     II     115     II     57     II     37     II     70
446     II     111     II     54     II     35     II     67
447     II     104     II     51     II     35     II     63
448     II     96     II     48     II     36     II     60
449     II     91     II     47     II     36     II     58
450     II     88     II     44     II     33     II     55
451     II     84     II     44     II     32     II     53
452     II     83     II     43     II     33     II     53
453     II     82     II     44     II     33     II     53
454     II     81     II     44     II     35     II     53
455     II     81     II     44     II     35     II     53
456     II     84     II     47     II     41     II     57
457     II     83     II     45     II     42     II     57
458     II     83     II     43     II     43     II     56
459     II     83     II     42     II     46     II     57
460     II     86     II     40     II     50     II     59
461     II     88     II     42     II     53     II     61
462     II     90     II     42     II     56     II     63
463     II     93     II     42     II     57     II     64
464     II     95     II     45     II     57     II     66
465     II     97     II     45     II     57     II     66
466     II     99     II     45     II     58     II     67
467     II     102     II     46     II     57     II     68
468     II     105     II     45     II     53     II     68
469     II     108     II     46     II     51     II     68
470     II     116     II     47     II     52     II     72
471     II     123     II     47     II     49     II     73
472     II     136     II     52     II     52     II     80
473     II     145     II     51     II     49     II     82
474     II     154     II     52     II     47     II     84
475     II     163     II     55     II     45     II     88
476     II     174     II     56     II     46     II     92
477     II     181     II     57     II     45     II     94
478     II     188     II     61     II     46     II     98
479     II     193     II     61     II     46     II     100
480     II     200     II     64     II     48     II     104
481     II     205     II     66     II     47     II     106
482     II     211     II     68     II     51     II     110
483     II     217     II     72     II     51     II     113
484     II     224     II     74     II     50     II     116
485     II     229     II     75     II     49     II     118
486     II     233     II     75     II     48     II     119
487     II     234     II     75     II     46     II     118
488     II     227     II     72     II     42     II     114
489     II     222     II     74     II     46     II     114
490     II     200     II     62     II     36     II     99
491     II     186     II     64     II     41     II     97

